PRISM Time Series Data,
Location:  Lat: 39.2267   Lon: -120.6117   Elev: 1288m,
Climate variable: ppt,
Spatial resolution: 4km,
Period: 1970-01 - 2019-01,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: Off,
Time series generated: 2020-Feb-27,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,ppt (mm)
1970-01,805.21
1970-02,111.14
1970-03,141.32
1970-04,70.84
1970-05,14.72
1970-06,41.65
1970-07,0
1970-08,0
1970-09,0.87
1970-10,84.56
1970-11,441.56
1970-12,503.83
1971-01,191.44
1971-02,41.87
1971-03,286.12
1971-04,87.29
1971-05,72.78
1971-06,50.44
1971-07,0.2
1971-08,4.65
1971-09,27.36
1971-10,37.41
1971-11,174.35
1971-12,343.74
1972-01,141.34
1972-02,218.6
1972-03,98.21
1972-04,166.64
1972-05,26.51
1972-06,20.01
1972-07,0
1972-08,0.42
1972-09,69.67
1972-10,112.7
1972-11,285.94
1972-12,238.42
1973-01,499.77
1973-02,312.65
1973-03,178.35
1973-04,41.63
1973-05,25.69
1973-06,6.95
1973-07,0
1973-08,9.23
1973-09,52.61
1973-10,130.46
1973-11,655.19
1973-12,371.33
1974-01,328.27
1974-02,162.17
1974-03,485.78
1974-04,165.46
1974-05,4.89
1974-06,9.3
1974-07,109.39
1974-08,3.57
1974-09,0
1974-10,80.36
1974-11,98.83
1974-12,128.82
1975-01,149.48
1975-02,472.1
1975-03,394.04
1975-04,184.55
1975-05,35.17
1975-06,18.51
1975-07,3.04
1975-08,50
1975-09,4.68
1975-10,255.03
1975-11,102.73
1975-12,64.72
1976-01,29.62
1976-02,143.53
1976-03,93.56
1976-04,70.58
1976-05,6.39
1976-06,8.82
1976-07,0.01
1976-08,76.54
1976-09,36.54
1976-10,19.51
1976-11,62.41
1976-12,8.13
1977-01,114.61
1977-02,102.03
1977-03,90.54
1977-04,11.42
1977-05,131.64
1977-06,2.02
1977-07,1.85
1977-08,6.45
1977-09,32.22
1977-10,12.04
1977-11,174.21
1977-12,441.31
1978-01,560.77
1978-02,260.1
1978-03,321.95
1978-04,301.74
1978-05,38.62
1978-06,7.22
1978-07,0
1978-08,2.87
1978-09,113.18
1978-10,0
1978-11,139.22
1978-12,84.73
1979-01,314.11
1979-02,359.4
1979-03,229.57
1979-04,125.66
1979-05,95.61
1979-06,0.34
1979-07,8.9
1979-08,8.8
1979-09,2.36
1979-10,182.18
1979-11,178.24
1979-12,254.77
1980-01,606.67
1980-02,486.89
1980-03,156.23
1980-04,106.74
1980-05,86.87
1980-06,19.63
1980-07,22.68
1980-08,1.44
1980-09,2.81
1980-10,39.29
1980-11,55.79
1980-12,135.7
1981-01,315.74
1981-02,135.94
1981-03,240.51
1981-04,51.89
1981-05,82.88
1981-06,1.47
1981-07,0
1981-08,0
1981-09,29.37
1981-10,206.36
1981-11,573.29
1981-12,567.84
1982-01,327.7
1982-02,282.52
1982-03,463.91
1982-04,378.73
1982-05,9.83
1982-06,30
1982-07,4
1982-08,2.07
1982-09,120.28
1982-10,258.58
1982-11,342.06
1982-12,340.22
1983-01,299.69
1983-02,476.56
1983-03,568.96
1983-04,241.44
1983-05,51.34
1983-06,21.83
1983-07,11.31
1983-08,9.71
1983-09,55.52
1983-10,119.03
1983-11,642.38
1983-12,607.85
1984-01,19.3
1984-02,235.87
1984-03,160.37
1984-04,127.82
1984-05,53.51
1984-06,46.24
1984-07,1.29
1984-08,8.93
1984-09,6.05
1984-10,133.39
1984-11,408.64
1984-12,91.19
1985-01,40.48
1985-02,162
1985-03,274.96
1985-04,42.44
1985-05,5.03
1985-06,12.77
1985-07,0.21
1985-08,6.7
1985-09,62.7
1985-10,61.82
1985-11,296.51
1985-12,187.68
1986-01,254.68
1986-02,935.24
1986-03,355.53
1986-04,58.26
